Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,xG,Pens S,Pen/R,Shot/90,Shot %,ShT/90,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Breno Barros,"D (RL), WB/AM (R)",22,BRA,"6'0""",165 lbs,,Newcastle United,£120M - £186M,6.99,3,2.78,0,-,0.81,44%,0.36,0.08,55.00,90%,1.02,14,100,14%,2.79,75%,11,3.27,44,62,6.32,3.50,55%,1,1.83,31,8.5mi,6,0,4,36 (22),"3,546",32,3,0,61.14,14,249,14,333.2mi,72,138,129,40,"2,405","2,167",146,110,30/6/2035,"£130,000 p/w",Right,17,1-2,8-10,16-19,12,13-16,12-15,3-5,1-3,11-13,12-14,5-7,11-13,14,15,10-13,1-2,11-14,12,13-15,8-11,1-3,6,12,1-4,14-16,8-10,4-6,12,14-16,13-16,1-2,15,13,5-8,11,2-4,1-3,1,17-19,12,11,10-12,13-15,1-2,11-13,11,0.38,0.66,0.09,13.15,14.24,10.00,8.88,2.51,8.02,0.16,26,-,-,9%,0.99,-,-,39,-,-,-,-,-,0.07,-,2.78,Premier League,Physical,Fullback,Scouting Required,0,0.36,1.12,2.54,0.36,0,2.82,0.28,14%,2.54,0.36,61.04,0.25,0.51,0.07,-,,- -  - 
Josen Escobar,"D (R), DM, M (C)",27,COL,"5'9""",160 lbs,Fairly Professional,Juventus,£104M - £154M,7.01,3,4.23,0,-,1.15,32%,0.36,0.20,58.40,91%,1.74,15,83,17%,2.07,76%,2,2.10,22,45,2.80,0.90,32%,0,2.38,18,8.8mi,5,0,4,33 (24),"3,216",41,7,0,56.42,13,100,12,315.9mi,85,32,75,62,"2,296","2,087",97,74,30/6/2035,"£215,000 p/w",Right,12,1,10,14,15,15,11,2,3,14,13,11,12,15,13,13,2,9,14,12,7,4,11,7,3,16,12,11,14,13,12,3,15,15,8,13,1,1,1,15,15,12,12,13,1,16,13,0.00,0.28,0.10,14.50,8.98,9.10,10.05,2.94,6.55,0.22,10,-,-,7%,1.60,-,-,57,-,-,-,-,-,0.12,-,4.23,Serie A TIM,Physical,Defensive midfielder,Reserved,0,0.42,0.62,2.32,0.34,1,1.90,0.06,14%,1.09,0.20,64.25,0.08,0.64,0.12,-,nEU,- -  - 
Benoît Badiashile,D (C),31,FRA,"6'4""",165 lbs,Resolute,Chelsea,£17.5M - £27M,7.01,3,3.51,0,-,0.93,37%,0.34,0.02,62.42,93%,0.34,1,7,28%,1.45,81%,21,2.21,51,22,7.23,5.35,74%,0,0.20,4,7.5mi,4,0,0,42 (14),"3,984",41,1,0,71.14,15,320,2,330.5mi,9,237,98,15,"2,967","2,763",79,64,30/6/2032,"£205,000 p/w",Left,15,1-3,10,13-15,15,14-16,15,1-3,1-3,16,13,3-5,5-7,15,15,9,2-4,6-8,13,10-12,3-5,1-3,17,17,3-5,13,6-9,6-8,16,15,6-8,2-4,15,14,6-8,14,1-4,1-2,1-4,15,16,15,14,13,1-2,10-13,13,0.90,0.93,0.09,5.56,11.88,5.24,3.28,1.15,4.59,0.03,41,-,-,7%,0.34,-,-,15,-,-,-,-,-,0.08,-,3.51,Premier League,Physical,Elite center-back,Level-headed,0,0.02,1.15,0.16,0.05,1,1.88,0.47,29%,0.16,0.05,67.03,0.61,0.05,0.08,-,Wnt,- -  - 
Yaell Samson,GK,26,NED,"6'0""",169 lbs,,Standard Luik,£4.6M - £7.4M,6.86,0,0.00,0,-,-,-,-,-,7.92,53%,-,0,-,-,0.02,33%,0,0.21,-,0,-,-,-,0,-,0,2.9mi,0,0,0,56,"5,160",0,0,0,92.14,-,-,-,164.9mi,0,-,12,0,854,454,3,1,30/6/2034,"£35,000 p/w",Right,12-15,10-13,10-13,8-12,11-15,10-14,12-16,14,9-13,11-15,12-15,1-3,1-4,14-17,13-17,1-4,3-6,10-14,5-9,1-2,2-6,14,1,11-14,12,4-7,1-4,1-5,1-2,14-17,1-2,12-15,5-8,11-14,5-9,14-18,9-12,12-16,2-5,11-14,8-12,1-3,6-9,6-9,14,7-10,8-11,0.00,-,0.00,0.16,3.63,11.23,0.00,0.00,0.70,0.00,-,-16.12,86%,-,0.00,38,-0.28,0,75%,71,72,1.36,0.28,0.00,33%,0.00,Jupiler Pro League,Distributor,Goalkeeper,Scouting Required,-,-,11.06,-,-,-,-,0.00,-,-,-,14.90,-,-,0.00,3,,- -  - 
Ibrahima Konaté,"D (C), DM",33,FRA,"6'4""",205 lbs,Spirited,Juventus,£44M - £65M,7.08,4,2.14,0,-,0.50,63%,0.31,0.02,64.28,95%,0.29,3,13,7%,1.18,85%,15,2.35,39,27,6.30,4.71,75%,0,0.21,5,7.4mi,5,0,2,53 (3),"4,357",24,1,0,77.80,15,305,1,357.4mi,10,228,114,14,"3,284","3,112",67,57,30/6/2032,"£350,000 p/w",Right,15,3,15,13,15,15,15,2,2,14,16,3,6,14,15,11,2,4,15,8,6,2,15,17,3,10,5,11,15,14,7,3,16,13,7,15,2,4,2,12,15,16,14,15,3,9,15,0.99,0.41,0.09,6.88,11.53,4.01,2.87,0.97,5.31,0.04,20,-,-,17%,0.27,-,-,13,-,-,-,-,-,0.04,-,2.14,Serie A TIM,Technical,Elite center-back,"Unflappable, Media-friendly",0,0.06,0.81,0.27,0.02,0,1.59,0.31,8%,0.27,0.02,67.84,0.31,0.02,0.04,-,Wnt,- -  - 
Dennis Seimen,GK,26,GER,"6'4""",194 lbs,Driven,Juventus,£74M - £114M,7.20,0,0.00,0,-,-,-,-,-,28.47,96%,-,0,-,-,0.05,60%,0,0.19,-,0,-,-,-,0,-,0,4.0mi,0,0,0,56,"5,160",0,0,0,92.14,-,-,-,231.7mi,0,-,11,0,"1,699","1,632",5,3,30/6/2035,"£190,000 p/w",Left,10,17,14-16,15,14,14,13,13,14,14,15,2-4,1-3,14,16-18,2-4,12,1-2,12,8-10,2-4,13,4-7,17-19,12,15,1-3,1-3,2-4,12-14,1-3,17,8-11,14,10-12,15,7,16,16,12-15,14,1-3,9-12,11-14,15,16-19,13-16,0.00,-,0.00,0.09,5.55,1.47,0.00,0.00,0.30,0.00,-,6.66,85%,-,0.00,18,0.12,0,80%,51,50,0.58,0.58,0.00,60%,0.00,Serie A TIM,Assertive,World class goalkeeper,"Evasive, Reserved",-,-,0.65,-,-,-,-,0.00,-,-,-,29.63,-,-,0.00,2,,- -  - 
Jonas Urbig,GK,28,GER,"6'2""",182 lbs,Professional,FC Barcelona,£70M - £106M,7.01,0,0.00,0,-,-,-,-,-,30.42,97%,-,0,-,-,0.00,0%,1,0.14,-,0,-,-,-,4,-,0,4.1mi,0,0,0,56,"5,100",0,0,0,91.07,-,-,-,229.5mi,0,-,8,0,"1,769","1,724",2,0,30/6/2035,"£105,000 p/w",Right,9,17,10-12,15,15,15,13,14,15,14,14,1-2,4-6,14,15-18,7-9,13,3-5,13,6-8,2-4,13,6-8,16-18,15,13,3-6,7-10,2-4,15-17,7-9,16,10-12,15,6-8,15,8,16,16,11-14,13,4-6,11-13,11-14,15,14-16,10-13,0.00,-,0.00,0.07,5.45,1.27,0.00,0.00,0.35,0.00,-,-11.46,86%,-,0.00,14,-0.20,0,75%,57,62,0.97,0.34,0.00,0%,0.00,LaLiga EA Sports,Distributor,World class goalkeeper,Unflappable,-,-,1.25,-,-,-,-,0.02,-,-,-,31.22,-,-,0.00,2,,- -  - 
Marcus Rashford,"M (L), AM (LC), ST (C)",34,ENG,"6'0""",149 lbs,Resolute,Manchester United,£14.5M - £21M,7.23,25,21.87,7,100%,2.93,52%,1.51,0.37,32.36,81%,1.90,36,129,15%,2.63,88%,0,1.58,12,61,5.08,2.06,41%,0,2.68,79,8.3mi,4,0,34,48 (7),"3,935",128,16,7,71.55,66,222,26,361.6mi,117,90,69,83,"1,743","1,415",131,115,30/6/2032,"£210,000 p/w",Right,14,2,13,15,16,16,9,2,2,14,13,8,14,13,15,13,2,18,15,19,13,1,12,12,1,12,12,2,2,17,17,3,14,15,16,6,2,2,2,13,11,3,12,16,2,15,10,0.05,0.27,0.17,13.93,6.66,14.57,13.52,4.00,3.00,0.24,12,-,-,20%,1.51,-,-,66,-,-,-,-,-,0.37,-,16.33,Premier League,Creative,Elite winger,Reserved,18,0.82,0.27,2.95,0.59,0,3.02,0.00,20%,2.31,0.37,39.87,0.07,1.05,0.50,-,Wnt,- -  - 
Quinten Timber,"D (C), DM, M/AM (C)",31,NED,"5'10""",154 lbs,Ambitious,FC Barcelona,£28M - £43M,7.08,6,3.34,0,-,1.30,39%,0.51,0.22,63.18,91%,1.55,19,23,47%,1.64,72%,2,1.99,16,28,2.91,1.39,48%,0,1.20,23,8.7mi,2,0,2,29 (26),"2,849",41,7,0,51.80,16,92,11,276.4mi,38,44,63,49,"2,203","2,000",72,52,30/6/2033,"£95,000 p/w",Right,13,2-4,8,14-16,14-16,15,12-14,1-3,1-4,14-17,12-14,3-5,9,14-17,16,13,1,8,14,13,9-11,3-5,8,10,1-2,11,10,5-8,10-12,15,12-14,1-3,12,14,8-10,13,1-4,1-2,1-2,14,14,12,15,15,1-3,14,13,0.09,0.35,0.08,13.02,8.81,7.33,9.79,2.81,7.30,0.20,11,-,-,15%,1.55,-,-,49,-,-,-,-,-,0.11,-,3.34,LaLiga EA Sports,Physical,World class midfielder,"Evasive, Reserved",4,0.60,0.51,0.73,0.35,3,1.52,0.06,48%,0.73,0.35,69.59,0.16,0.85,0.11,-,Wnt,- -  - 
Diogo Costa,GK,32,POR,"6'1""",174 lbs,Light-Hearted,Liverpool,Not for Sale,7.12,0,0.00,0,-,-,-,-,-,35.62,98%,-,0,-,-,0.02,25%,0,0.07,-,0,-,-,-,2,-,0,4.2mi,0,0,0,55,"5,010",0,0,0,91.09,-,-,-,231.8mi,0,-,4,0,"2,033","1,983",4,1,30/6/2033,"£250,000 p/w",Right,11,14,14,15,16,13,14,15,15,17,16,5,3,15,14,2,7,1,12,11,4,14,5,14,17,11,3,2,3,15,3,19,11,15,4,15,8,17,13,12,13,2,14,14,16,16,14,0.00,-,0.00,0.14,6.75,1.35,0.00,0.00,0.32,0.00,-,7.35,84%,-,0.00,31,0.13,0,82%,74,65,0.95,0.43,0.00,25%,0.00,Premier League,Distributor,Legendary goalkeeper,Unflappable,-,-,1.08,-,-,-,-,0.00,-,-,-,36.52,-,-,0.00,3,,- -  - 
