Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec

Bastian Johansson,M/AM (R),25,SWE,"6'0""",163 lbs,,BK Häcken,£9K,8.30,0,0,-,-,0%,-,0.08,-,-,90%,-,1,4,50%,-,-,0,-,0,1,-,-,-,0,-,1,-,0,0,0,1,45,1,2,0,45.00,0,0,2,3.9mi,0,-,0,3,30,27,0,-,30/11/2041,£875 p/w,Unknown,15-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6-12,-,6-11,6-14,-,-,-,1-4,5-11,-,-,1-8,-,-,-,5-11,-,12-17,12-18,-,-,-,-,-,-,8-16,-,-,6-14,-,-,6-14,-,-,0.08,-,-,-,-,-,-,-,0,-,-,-,-,-,-,3,-,-,-,-,-,-,-,0.08,Allsvenskan,Physical,Winger,Scouting Required,0,-,-,-,-,0,-,-,50%,-,-,-,-,-,-,-,Wnt,- -  - 
Alexander Osorio,"DM, M/AM (C)",28,PER,"5'7""",149 lbs,Fairly Professional,Vålerenga,£850K,7.87,4,1,100%,1.87,80%,1.49,1.10,-,51.16,93%,-,0,0,-,2.61,78%,0,0.75,4,4,4.48,1.49,33%,0,-,1,7.7mi,0,0,0,3,241,5,0,1,80.33,4,12,0,20.5mi,0,4,2,0,147,137,9,7,31/12/2041,"£12,250 p/w",Right,12,4,12,13,15,16,15,1,4,12,14,5,6,12,14,8,3,5,11,10,7,3,12,7,1,18,10,6,12,16,10,2,12,12,6,9,3,2,2,12,12,12,12,13,3,13,13,0.00,-,0.22,10.46,6.72,4.48,6.72,2.24,7.84,0.00,0,-,-,80%,0.00,-,-,0,-,-,-,-,-,0.11,-,0.30,Eliteserien,Leader,Defensive midfielder,"Media-friendly, Reserved",0,-,1.49,0.00,0.00,1,2.99,0.00,-,0.00,0.00,54.90,0.00,0.75,0.41,-,Lst,- -  - 
Fabrice Ngiamba,M/AM (L),27,FRA,"5'7""",145 lbs,,Viking,£1M,7.80,1,0,-,2.50,20%,0.50,1.15,0.50,41.00,96%,2.00,2,9,20%,2.50,83%,0,-,1,2,6.50,0.50,8%,0,4.50,6,8.0mi,0,0,1,2,180,5,1,0,90.00,1,13,2,16.0mi,9,1,0,4,85,82,6,5,31/12/2041,"£4,200 p/w",Unknown,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8-14,-,9-15,10-15,-,-,-,2-8,1-4,-,-,3-8,-,-,-,6-12,-,10-16,9-17,-,-,-,-,-,-,5-10,-,-,11-16,-,-,7-12,0.00,-,0.23,11.50,3.50,11.00,11.50,3.50,5.50,0.43,0,-,-,20%,1.50,-,-,3,-,-,-,-,-,0.57,-,1.15,Eliteserien,Creative,Winger,Scouting Required,0,1.00,0.50,4.50,1.00,0,6.00,0.00,22%,2.50,0.50,42.50,0.00,0.50,0.57,-,Wnt,- -  - 
Vedran Đukić,M (C),22,SWE,"5'7""",149 lbs,,Hammarby IF,Unknown,7.70,2,0,-,3.33,100%,3.33,0.41,-,35.56,86%,2.22,2,1,-,1.11,100%,0,2.22,0,0,2.22,0.00,0%,0,2.22,0,0.0mi,0,0,0,0 (2),81,3,0,0,40.50,3,2,0,8.1mi,2,0,2,2,37,32,1,1,30/11/2040,£800 p/w,Unknown,-,-,8-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12-18,10-16,-,-,5-13,2-8,-,-,2-8,-,-,-,-,-,-,9-14,-,-,-,-,-,7-13,11-17,8-16,10-18,6-12,-,5-13,4-10,0.00,-,0.14,13.33,2.22,7.78,10.00,1.11,4.44,0.49,0,-,-,67%,2.22,-,-,2,-,-,-,-,-,0.46,-,0.41,Allsvenskan,Physical,Midfielder,Scouting Required,0,2.22,0.00,1.11,0.00,1,2.22,0.00,0%,1.11,0.00,41.11,0.00,2.22,0.46,-,Wnt,- -  - 
Luis Ortiz,AM (C),21,ARG,"5'10""",156 lbs,,IF Elfsborg,Unknown,7.60,1,0,-,-,50%,-,0.30,-,-,94%,-,1,1,-,-,100%,0,-,0,0,-,-,-,0,-,0,-,0,0,0,0 (1),27,4,0,0,27.00,2,0,0,2.4mi,1,-,0,2,36,34,1,1,30/11/2041,"£1,700 p/w",Unknown,9-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8-16,-,6-14,10-16,-,-,-,1-5,1-5,-,-,10-16,-,-,-,9-17,-,6-12,8-13,-,-,-,-,-,-,7-13,-,-,16-20,-,6-12,14-20,-,-,0.07,-,-,-,-,-,-,-,0,-,-,25%,-,-,-,0,-,-,-,-,-,-,-,0.30,Allsvenskan,Physical,Midfielder,Scouting Required,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,Inj,- -  - 
Carl Verdin,M/AM (L),21,SWE,"5'10""",152 lbs,,Mjällby AIF,Unknown,7.55,0,0,-,1.53,50%,0.76,0.24,0.76,26.69,76%,2.29,3,8,37%,6.10,89%,0,2.29,2,1,3.81,1.53,40%,0,3.81,1,9.1mi,0,0,1,1 (2),118,2,1,0,39.33,1,5,3,12.0mi,5,2,3,3,46,35,9,8,30/11/2042,£425 p/w,Unknown,5-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15-20,-,4-10,2-10,-,-,-,9-14,7-15,-,-,2-7,-,-,-,11-17,-,10-15,1-6,-,-,-,-,-,-,1-9,-,-,9-14,-,4-9,11-16,0.00,-,0.12,21.36,12.20,16.02,17.54,1.53,3.81,0.90,0,-,-,-,2.29,-,-,3,-,-,-,-,-,0.18,-,0.24,Allsvenskan,Physical,Winger,Scouting Required,0,2.29,1.53,6.10,2.29,0,2.29,0.00,38%,6.10,2.29,35.08,0.00,0.76,0.18,-,,- -  - 
Jeffinho,"AM (RL), ST (C)",22,BRA,"5'10""",154 lbs,,Vila Nova,£35K - £350K,7.50,1,0,-,-,100%,-,0.13,-,-,86%,-,0,1,-,-,-,0,-,1,0,-,-,0%,0,-,0,-,0,0,0,0 (1),19,1,0,0,19.00,1,1,0,1.7mi,1,0,0,1,7,6,0,-,31/12/2041,£325 p/w,Left,12-16,-,7-11,9-15,2-8,13-19,8-14,-,-,4-8,1-5,4-8,8-12,8-12,17-20,8-14,-,10-16,7-11,11-15,2-8,-,1-2,1-5,-,3-7,6-10,1-3,-,10-14,5-11,-,8-12,5-9,1-6,-,-,-,-,13-17,6-10,1,1-4,12-16,-,2-6,9-13,-,-,0.13,-,-,-,-,-,-,-,0,-,-,100%,-,-,-,1,-,-,-,-,-,-,-,0.13,Campeonato Brasileiro Série B,Physical,Forward,Scouting Required,0,-,-,-,-,0,-,-,0%,-,-,-,-,-,-,-,Loa,- -  - 
Carlos Vázquez,GK,17,MEX,"6'1""",154 lbs,,León,Unknown,7.50,0,0,-,-,-,-,0.00,-,8.08,30%,-,0,-,-,-,-,0,-,-,0,-,-,-,0,-,0,0.0mi,0,0,0,0 (1),78,0,0,0,78.00,-,-,-,5.5mi,0,-,0,0,23,7,0,-,30/6/2042,£55 p/w,Unknown,-,1-9,-,3-11,-,-,10-18,3-9,-,-,3-13,-,-,-,-,-,1-4,-,-,-,-,6-16,-,-,1-6,-,-,-,-,-,-,1-10,-,-,-,7-15,4-10,14-20,4-12,-,-,-,-,-,3-9,-,-,0.00,-,0.00,0.00,1.15,17.31,0.00,0.00,0.00,0.00,-,0.59,0%,-,0.00,0,0.68,0,0%,0,0,0.00,1.15,0.00,-,0.00,Liga BBVA MX,Shot Stopper,Goalkeeper,Scouting Required,-,-,6.92,-,-,-,-,0.00,-,-,-,26.54,-,-,0.00,-,Yth,- -  - 
David Estrada,"DM, M (C)",22,MEX,"5'9""",158 lbs,,Pachuca,£95K - £950K,7.50,0,0,-,-,-,-,0.00,-,38.41,88%,4.39,0,0,-,2.20,67%,1,1.10,3,1,2.20,0.00,0%,0,-,0,0.0mi,0,0,0,1,82,0,0,0,82.00,-,2,0,9.5mi,0,0,1,4,40,35,3,2,31/12/2043,"£8,500 p/w",Right,8-11,1-2,12-15,14-17,12-15,13-17,5-9,1-4,1-2,6-10,13-17,3-7,5-8,12-15,15-19,6-9,2-6,4-8,8,7,3-7,1,9-12,3-7,2-5,5-8,5-8,3-7,12-16,10-13,8-11,1-5,11-14,10,4-7,10-14,1-4,1-3,1-3,12-15,12,15,9-12,11-14,1-5,9,13-16,0.00,1.10,0.00,16.46,15.37,4.39,9.88,3.29,6.59,0.00,1,-,-,-,4.39,-,-,4,-,-,-,-,-,0.00,-,0.00,Liga BBVA MX,Physical,Defensive midfielder,Scouting Required,0,-,3.29,0.00,0.00,0,2.20,1.10,-,0.00,0.00,43.90,0.00,0.00,0.00,-,Loa,- -  - 
Luca Lambertini,D (R),28,ITA,"5'10""",160 lbs,,Vålerenga,£50K,7.50,0,0,-,-,-,-,0.00,-,50.68,91%,1.75,1,2,50%,1.75,100%,0,1.75,1,0,4.37,3.50,80%,0,-,3,8.0mi,0,0,0,1 (1),103,0,0,0,51.50,-,5,1,9.1mi,0,4,2,2,64,58,2,2,31/12/2040,"£7,750 p/w",Unknown,11-17,-,-,-,10-15,-,-,-,-,-,-,-,-,12-20,9-15,-,-,-,4-10,-,-,-,1-9,5-11,-,-,-,-,9-15,-,-,-,8-16,9-15,-,8-13,-,-,-,-,5-11,2-10,-,-,-,-,-,0.87,-,0.00,13.98,10.49,6.99,1.75,0.87,6.12,0.16,0,-,-,-,1.75,-,-,2,-,-,-,-,-,0.00,-,0.00,Eliteserien,Physical,Fullback,Scouting Required,0,0.87,0.87,1.75,0.87,0,0.87,0.00,50%,1.75,0.87,55.92,0.00,0.00,0.00,-,Wnt,- -  - 
Diogo,"M (LC), AM (C), ST (C)",27,BRA,"5'9""",160 lbs,Fairly Professional,Goiás,£850K,7.42,4,0,-,3.40,77%,2.62,1.40,-,20.67,92%,1.83,0,20,-,2.09,73%,1,0.26,1,4,8.63,1.57,18%,0,0.26,11,7.0mi,1,0,0,4 (1),344,13,0,0,68.80,10,33,0,26.9mi,1,6,1,7,86,79,11,8,31/12/2040,"£4,800 p/w",Left,16,2,20,14,13,16,9,1,1,12,15,11,8,11,14,10,2,14,9,13,6,2,13,5,3,14,11,4,12,12,13,3,12,7,6,9,2,1,1,15,14,10,10,12,1,10,13,0.00,-,0.11,8.11,2.88,15.96,6.80,2.88,2.09,0.07,0,-,-,31%,1.83,-,-,7,-,-,-,-,-,0.37,-,1.40,Campeonato Brasileiro Série B,Physical,Midfielder,Level-headed,0,-,0.26,5.23,0.00,0,7.06,0.26,0%,1.57,0.00,22.50,0.00,0.78,0.37,-,Bid,- -  - 
Winston Svensson Johansson,M/AM (L),34,SWE,"5'11""",163 lbs,,Degerfors IF,£0,7.40,1,0,-,-,50%,-,0.51,-,-,80%,-,0,4,25%,-,100%,0,-,0,1,-,-,50%,0,-,0,-,0,0,0,0 (1),14,2,0,0,14.00,1,2,1,1.7mi,0,1,1,0,5,4,1,1,30/11/2040,"£1,000 p/w",Unknown,6-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10-16,-,3-9,6-14,-,-,-,3-8,11-19,-,-,1-6,-,-,-,11-17,-,10-15,3-9,-,-,-,-,-,-,3-11,-,-,7-12,-,-,11-16,-,-,0.26,-,-,-,-,-,-,-,0,-,-,50%,-,-,-,0,-,-,-,-,-,-,-,0.51,Allsvenskan,Physical,Winger,Scouting Required,0,-,-,-,-,0,-,-,25%,-,-,-,-,-,-,-,Req,- -  - 
