Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Position Selected

Vetle Danielsen,M/AM (C),18,NOR,"5'1""",116 lbs,Resolute,Libertas,£1M - £1.6M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2046,"£4,300 p/w",Right,9,2,10,13,11,14,8,3,2,12,5,8,7,12,15,12,3,6,14,14,7,2,5,3,2,11,12,4,4,12,11,2,12,13,7,5,4,1,1,9,6,8,5,15,1,13,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Creative,Young attacking midfielder,Reserved,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S3
Markus Stokvik,ST (C),18,NOR,"5'11""",165 lbs,Resolute,Libertas,£450K - £1.7M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£3,800 p/w",Left,10,2,10,8,13,15,8,1,3,13,8,5,5,12,16,9,3,9,12,15,6,1,16,10,1,14,9,4,2,16,10,1,10,9,7,7,2,1,1,11,13,7,15,15,1,9,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Intelligent,Young striker,Reserved,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rafael Rojas,ST (C),18,BOL,"6'7""",182 lbs,Driven,Libertas,£1.5M - £3.5M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£3,600 p/w",Right,13,2,9,12,11,11,13,3,3,12,5,9,8,9,18,16,3,15,12,16,12,3,5,16,1,1,8,3,3,16,12,2,12,10,11,5,3,3,3,11,9,4,15,17,3,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Technical,Striker,Volatile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S10
Said de Vogel,GK,19,NED,"6'0""",171 lbs,Balanced,Libertas,£8.4M - £9.8M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2046,"£16,500 p/w",Right,10,12,7,13,12,8,9,9,8,6,12,4,1,13,13,1,2,2,8,3,4,14,1,10,9,12,1,2,3,8,2,12,7,8,3,11,11,14,11,8,8,1,9,4,9,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Shot Stopper,Goalkeeper,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Simon Martins,"M/AM (R), ST (C)",19,NGA,"6'0""",167 lbs,Resolute,Libertas,£1.3M - £2M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2044,"£2,400 p/w",Right,15,4,20,14,10,15,5,2,3,8,9,10,8,7,15,14,2,9,13,14,2,1,7,13,1,14,7,2,5,10,10,4,14,8,10,5,2,1,3,12,9,5,9,15,3,6,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Leader,Young winger,Reserved,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S15
Diego Guerreiro,"D/WB (R), DM, M (C)",20,BRA,"5'11""",167 lbs,Driven,Libertas,£6.5M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2044,"£6,750 p/w",Right,13,1,13,14,14,11,15,2,2,9,12,4,10,12,18,8,2,7,11,10,2,3,9,7,2,11,15,4,12,16,10,2,14,8,6,12,3,1,3,17,15,13,12,13,2,12,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Strong full back,Volatile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DR
Filip Stojanović,AM (C),20,SRB,"5'10""",156 lbs,Fairly Professional,Libertas,£6.25M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2046,"£3,900 p/w",Right,13,3,10,14,13,15,5,3,3,12,7,8,11,16,10,13,3,11,13,15,9,1,6,7,2,13,17,3,3,15,15,3,12,13,6,6,1,1,3,7,10,6,9,17,3,17,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Creative,Attacking midfielder,Outspoken,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AMC
Diego Pérez,D/WB/M (L),20,URU,"5'5""",138 lbs,Balanced,Libertas,£1.4M - £3.4M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£5,250 p/w",Right,16,1,12,14,10,16,8,2,2,9,9,3,12,12,10,10,2,6,12,13,1,1,4,4,1,11,6,6,9,17,11,2,15,9,4,8,1,1,1,16,11,7,8,13,1,9,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Attacking full back,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S5
Axel Silvera,D (C),20,URU,"6'1""",178 lbs,Balanced,Libertas,£35K - £250K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2044,£450 p/w,Right,11,1,6,10,14,15,16,3,2,10,12,3,3,12,12,6,3,3,12,6,3,1,7,15,1,10,5,3,13,9,8,3,10,9,4,12,1,1,3,14,11,16,12,7,1,7,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Center back,Outspoken,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S14
