Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec

Unai Simón,GK,27,ESP,"6'3""",196 lbs,Fairly Determined,Athletic Bilbao,£94M - £118M,6.76,0,0,-,-,-,-,0.00,-,25.58,90%,-,0,-,-,0.02,33%,0,-,-,0,-,-,-,0,-,16,3.9mi,0,0,0,44,"3,856",0,0,0,87.64,-,-,-,167.1mi,0,-,0,0,"1,219","1,096",3,1,30/6/2028,"£71,000 p/w",Right,13,16,10,14,13,7,12,15,15,15,12,4-6,1-3,14,14-17,2-4,13,1-2,13,1,7-9,14,12-14,15,13,12,1-3,1-4,1,12-14,1-3,15,13,12,1-3,15,9,16,13,10-13,12,2-4,13,13,15,13-15,12,0.00,-,0.00,0.00,4.97,5.41,0.00,0.00,0.00,0.00,-,6.41,88%,-,0.00,23,0.15,0,72%,37,85,1.28,0.26,0.00,33%,0.00,LaLiga EA Sports,Distributor,Goalkeeper,Level-headed,-,-,0.77,-,-,-,-,0.00,-,-,-,28.45,-,-,0.00,3,Int,- -  - 
Marc Guéhi,D (C),24,ENG,"6'0""",176 lbs,Resolute,Crystal Palace,£42M - £50M,6.85,0,0,-,0.37,15%,0.06,1.46,-,60.95,91%,0.32,1,3,33%,1.03,78%,9,1.98,30,26,6.78,4.16,61%,0,0.29,13,7.2mi,6,0,1,36,"3,135",13,0,0,87.08,2,236,1,249.6mi,10,145,69,11,"2,326","2,123",46,36,30/6/2025,"£45,000 p/w",Right,15,1,11,15,14,14,14,4,1,14,15,5,7,14,15,13,3,10,14,11,7,1,13,14,1,16,8,9,14,16,9,2,15,13,8,16,1,2,3,14,15,15,13,15,3,12,14,0.83,0.63,0.11,5.94,13.35,2.30,2.70,0.89,4.25,0.05,22,-,-,-,0.32,-,-,11,-,-,-,-,-,0.04,-,1.46,Premier League,Technical,Center back,Reserved,0,0.03,0.86,0.09,0.03,0,2.61,0.26,33%,0.09,0.03,66.78,0.86,0.11,0.04,-,Int,- - A+ - 
William Carvalho,"DM, M (C)",33,POR,"6'2""",180 lbs,Light-Hearted,Real Betis,£4.9M - £7.4M,6.93,0,0,-,0.75,21%,0.16,1.41,0.05,48.30,89%,1.13,4,7,28%,2.57,80%,2,1.50,11,18,4.18,2.25,54%,0,0.91,19,8.3mi,1,1,1,24,"1,679",14,1,0,69.96,3,78,2,155.2mi,17,42,28,21,"1,009",901,60,48,30/6/2025,"£31,500 p/w",Right,10,1-3,12,11,12-14,18,11,1-4,1-3,17,18,6-8,9,13-16,12,13,1,9,15,15,9-11,1-3,12,13,2-4,14,9,6-9,11,11,12,1-2,9,15,8-10,17,1-2,1-3,3-5,12,18,16,14,17,2-5,16,10,0.32,0.38,0.10,12.11,13.51,6.00,9.38,3.22,5.63,0.17,7,-,-,-,1.13,-,-,21,-,-,-,-,-,0.08,-,1.41,LaLiga EA Sports,Intelligent,Experienced midfielder,"Unflappable, Media-friendly",1,0.21,0.59,0.38,0.11,0,1.93,0.11,29%,0.38,0.11,54.09,0.16,0.21,0.08,-,,- -  - 
Pablo Sarabia,M/AM (RLC),33,ESP,"5'9""",152 lbs,Balanced,Wolverhampton,£21M - £25M,7.00,8,1,100%,2.23,38%,0.85,6.81,0.11,33.69,85%,2.79,21,229,20%,2.37,84%,2,1.41,13,35,3.75,0.53,14%,0,2.86,39,7.9mi,1,0,10,36,"2,546",63,3,1,70.72,24,106,45,222.5mi,81,15,40,79,"1,119",953,80,67,30/6/2025,"£75,000 p/w",Left,13,1,10,15,13,14,11,2,2,14,13,15,15,14,9,14,3,15,17,15,15,1,7,6,2,8,12,5,7,12,15,2,12,15,13,8,3,3,1,11,9,5,15,17,2,16,13,0.00,0.25,0.11,14.00,5.20,18.56,12.80,3.75,3.39,0.18,7,-,-,13%,1.73,-,-,49,-,-,-,-,-,0.24,-,6.81,Premier League,Creative,Experienced attacking midfielder,Media-friendly,5,0.74,0.46,8.10,1.59,2,3.22,0.07,20%,1.91,0.39,39.56,0.00,0.57,0.24,-,Vac,- -  - 
Ante Rebić,"AM (L), ST (C)",31,CRO,"6'1""",169 lbs,Balanced,Lecce,£4.3M,6.70,6,0,-,2.08,59%,1.22,4.08,0.10,18.94,82%,0.81,3,14,7%,1.11,71%,0,1.16,6,25,6.74,2.68,40%,0,0.76,47,7.6mi,1,0,10,28,"1,777",41,2,0,63.46,24,133,1,149.3mi,15,53,23,16,457,374,31,22,30/6/2026,"£28,500 p/w",Right,12,1-2,15,12,14,13,13,1-2,1-4,13,12,5-8,10,14,12,12,2-5,13,14,12,7-9,1-3,14,12,2-4,9,13,5-8,5-8,9,14,2-5,11,14,10,7-9,1-2,1-2,1-3,11,13,7-9,14,14,1-4,14,14,0.05,0.10,0.10,6.33,1.77,18.84,7.45,1.57,0.96,0.09,2,-,-,15%,0.81,-,-,16,-,-,-,-,-,0.21,-,4.08,Serie A TIM,Creative,Winger,"Outspoken, Media-friendly",0,0.15,0.30,0.71,0.05,0,4.05,0.00,7%,0.71,0.05,23.15,0.00,0.81,0.21,-,Inj,- -  - 
Christian Eriksen,"DM, M (C), AM (LC)",33,DEN,"5'10""",167 lbs,Model Citizen,Manchester United,£0,6.71,1,0,-,0.98,36%,0.35,1.61,0.35,42.91,90%,1.67,4,55,13%,2.37,81%,1,1.53,9,9,2.09,0.49,23%,0,0.56,9,8.1mi,0,0,3,8 (39),"1,292",14,5,0,27.49,5,30,11,115.7mi,8,7,22,24,685,616,42,34,30/6/2024,"£170,000 p/w",Right,10,1-3,7,11,14,12,6,1-2,1-4,15,14,14-17,14,16,16,10,1-4,13,17,14,13-15,2-4,3,8,3-5,8,13,1-4,3-6,17,13,1-4,10,16,16,6-8,1-3,2-4,1-3,11,7,5-7,17,17,1-4,17,12,0.07,0.14,0.12,12.26,8.71,14.14,11.15,3.00,4.67,0.33,2,-,-,7%,1.46,-,-,21,-,-,-,-,-,0.11,-,1.61,Premier League,Creative,Experienced midfielder,Unflappable,1,0.28,0.63,3.83,0.77,0,1.60,0.07,20%,1.04,0.14,47.72,0.00,0.35,0.11,-,Int,- -  - 
David De Gea,GK,34,ESP,"6'4""",165 lbs,Resolute,Fiorentina,Not for Sale,6.80,0,0,-,-,-,-,0.00,-,16.98,71%,-,0,-,-,0.02,17%,0,-,-,1,-,-,-,1,-,21,3.8mi,1,0,0,47,"4,230",0,0,0,90.00,-,-,-,177.8mi,0,-,0,0,"1,124",798,6,1,30/6/2026,"£53,000 p/w",Right,12,16,5,16,14,12,11,8,10,8,12,2-5,1,13,14-17,1-3,6,1-2,13,4-7,5-7,16,2-4,15,14,14,2-4,1-2,1-4,15-17,10-12,15,13,7,2-4,15,10,19,3,11-13,12,1-2,9,8,9,4-6,12,0.00,-,0.00,0.00,2.62,9.55,0.00,0.00,0.00,0.00,-,2.43,90%,-,0.00,32,0.05,0,74%,36,82,1.11,0.26,0.00,17%,0.00,Serie A TIM,Shot Stopper,Experienced goalkeeper,Reserved,-,-,0.87,-,-,-,-,0.00,-,-,-,23.91,-,-,0.00,3,,- -  - 
Isco,M/AM (RLC),33,ESP,"5'9""",169 lbs,Balanced,Real Betis,Not for Sale,6.81,3,1,100%,1.85,23%,0.43,5.23,0.24,28.64,82%,1.73,11,180,24%,1.81,78%,2,1.30,8,25,3.46,0.63,18%,0,1.46,27,8.3mi,2,0,9,35 (1),"2,288",47,6,1,63.56,11,88,34,211.4mi,37,16,33,44,890,728,59,46,30/6/2026,"£35,000 p/w",Right,10,1,10,12,12,16,8,2-4,3-5,12,12,13-15,12,12,12,15,2-4,12,18,18,12-15,2-4,9,7,1-2,12,15,6-8,4-6,12,12,1-3,10,17,15,7-10,1-3,1-4,1-3,11,11,6-8,10,19,1-3,18,12,0.08,0.24,0.11,12.59,11.01,15.85,10.54,2.91,2.79,0.25,6,-,-,6%,1.69,-,-,43,-,-,-,-,-,0.21,-,5.23,LaLiga EA Sports,Creative,Midfield orchestrator,Media-friendly,4,0.43,0.31,7.08,1.34,4,2.83,0.08,19%,0.98,0.24,35.01,0.00,0.55,0.21,-,,- -  - 
Francis Coquelin,"DM, M (RC)",34,FRA,"5'9""",160 lbs,Resolute,Fulham,£700K - £7.2M,6.89,0,0,-,0.36,11%,0.04,1.01,0.08,50.77,90%,0.92,5,12,33%,2.35,79%,2,1.48,14,47,2.83,1.88,66%,0,0.64,16,8.3mi,9,0,4,30 (1),"2,255",9,2,0,72.74,1,71,4,207.7mi,16,47,37,23,"1,417","1,272",75,59,30/6/2025,"£67,000 p/w",Right,12,3-5,16,12,13-15,14,18,1-2,2-4,13,17,2-5,9,12-14,17,12,1-4,7,14,8,4-6,1-4,13,10,1-2,12,11,7-9,13,16,11,1-2,11,14,6-8,14,1-3,3-5,1-3,13,13,16,17,13,2-4,12,15,0.04,0.44,0.11,13.01,12.89,5.23,10.22,2.99,5.55,0.10,11,-,-,-,0.92,-,-,23,-,-,-,-,-,0.04,-,1.01,Premier League,Leader,Veteran midfielder,"Plays Mind Games, Reserved",0,0.20,0.56,0.48,0.16,0,0.96,0.08,33%,0.48,0.16,56.55,0.28,0.08,0.04,-,,- -  - 
